IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,46906,10.215.173.2,53,10687,Noice,DNS,Tertutup,firestore.googleapis.com,70,86,1,1,1689753826456,1689753826504
6,10.215.173.1,60072,142.251.175.95,443,10687,Noice,TLS,Tertutup,firestore.googleapis.com,1311,751,13,12,1689753826472,1689753830320
6,10.215.173.1,50898,142.251.223.42,443,10687,Noice,TLS,Tertutup,firestore.googleapis.com,1054,631,9,9,1689753826527,1689753887102
17,10.215.173.1,25874,10.215.173.2,53,10687,Noice,DNS,Tertutup,cdn.noiceid.cc,60,92,1,1,1689753828161,1689753828205
6,10.215.173.1,51994,104.18.1.196,443,10687,Noice,HTTPS,Tertutup,cdn.noiceid.cc,38261,7000301,722,1468,1689753828214,1689753907239
17,10.215.173.1,15010,10.215.173.2,53,10687,Noice,DNS,Tertutup,api.beta.noice.id,63,79,1,1,1689753835782,1689753835833
6,10.215.173.1,55982,34.117.133.146,443,10687,Noice,HTTPS,Tertutup,api.beta.noice.id,1810,1192,12,13,1689753835847,1689753897222
17,10.215.173.1,6874,10.215.173.2,53,10687,Noice,DNS,Tertutup,launches.appsflyer.com,68,295,1,1,1689753836008,1689753836185
6,10.215.173.1,45294,108.138.141.2,443,10687,Noice,HTTPS,Tertutup,launches.appsflyer.com,3096,858,8,7,1689753836204,1689753897222
6,10.215.173.1,55990,34.117.133.146,443,10687,Noice,HTTPS,Tertutup,api.beta.noice.id,5115,2910,21,26,1689753837592,1689753912249
17,10.215.173.1,9611,10.215.173.2,53,10687,Noice,DNS,Tertutup,inapps.appsflyer.com,66,267,1,1,1689753837749,1689753838013
6,10.215.173.1,58998,18.64.37.35,443,10687,Noice,HTTPS,Tertutup,inapps.appsflyer.com,10820,2350,14,14,1689753838026,1689753902231
17,10.215.173.1,28997,10.215.173.2,53,10687,Noice,DNS,Tertutup,sdk-01.moengage.com,65,266,1,1,1689753852262,1689753852324
6,10.215.173.1,44604,13.33.33.29,443,10687,Noice,HTTPS,Tertutup,sdk-01.moengage.com,6212,1370,8,8,1689753852333,1689753917264
17,10.215.173.1,10765,10.215.173.2,53,10687,Noice,DNS,Tertutup,api2.amplitude.com,64,329,1,1,1689753867660,1689753867816
6,10.215.173.1,59970,44.231.113.174,443,10687,Noice,HTTPS,Tertutup,api2.amplitude.com,12755,6395,15,17,1689753867829,1689753932304
